,Unnamed: 0.1,Unnamed: 0,Kabupaten,Tahun,Luas Panen,Hasil Panen,Produktivitas,Station,Humidity
66,66,66,Tegal,2018,72.0,1847.0,255.41,"Meteorologi, Tegal",77.0
67,67,67,Brebes,2018,17.0,488.0,286.91,,76.35305835599203
68,68,68,Kota Magelang,2018,0.0,0.0,0.0,,76.20872206708748
69,69,69,Kota Surakarta,2018,0.0,0.0,0.0,,76.47545422226668
70,70,70,Kota Salatiga,2018,4.0,103.0,258.7,,77.15325482152963
71,71,71,Kota Semarang,2018,2.0,54.0,269.34,,78.2421238648763
72,72,72,Kota Pekalongan,2018,0.0,0.0,0.0,,79.74206135230676
73,73,73,Kota Tegal,2018,0.0,0.0,0.0,,81.65306728382097
74,74,74,Cilacap,2019,346.0,8667.0,250.43,"Meteorologi, Cilacap",83.0
75,75,75,Banyumas,2019,66.0,1800.0,271.91,,85.51231946041395
76,76,76,Purbalingga,2019,158.0,3662.0,232.09,,85.06863566811938
77,77,77,Banjarnegara,2019,102.0,2890.0,282.82,,82.64409028253525
78,78,78,Kebumen,2019,28.0,750.0,272.73,"Sempor, Kebumen",80.0
79,79,79,Purworejo,2019,75.0,1997.0,267.7,,74.68905109209302
80,80,80,Wonosobo,2019,875.0,18416.0,210.54,"Wadaslintang, Wonosobo",74.0
81,81,81,Magelang,2019,755.0,21045.0,278.88,"SMPK. Borobudur, Magelang",78.0
82,82,82,Boyolali,2019,24.0,658.0,272.9,,83.3476724856832
83,83,83,Klaten,2019,41.0,1176.0,285.37,,86.02683856840055
84,84,84,Sukoharjo,2019,-25.34421057282811,-1966.8792474377744,257.44032211317204,,86.70451830080839
85,85,85,Wonogiri,2019,75.0,2030.0,270.73,"SMPK. Selogiri, Wonogiri",86.70451830080839
86,86,86,Karanganyar,2019,587.0,22273.0,379.5,"Puslitbang FP. UNS Jumantono, Karanganyar",82.0
87,87,87,Sragen,2019,411.9809088843128,15618.907643217688,336.9856565680862,,81.51605300980128
88,88,88,Grobogan,2019,28.0,710.0,255.26,,80.1720543580044
89,89,89,Blora,2019,30.0,802.0,268.07,,79.22027616271136
90,90,90,Rembang,2019,35.0,903.0,260.96,,78.66071842392216
91,91,91,Pati,2019,29.0,638.0,219.2,"SMPK. Rondole, Pati",79.0
92,92,92,Kudus,2019,53.0,1156.0,216.93,"SMPK. Colo, Kudus",78.0
93,93,93,Jepara,2019,9.0,255.0,293.19,,78.97431263189591
94,94,94,Demak,2019,88.0,3107.0,352.63,,79.53231757576981
95,95,95,Semarang,2019,799.0,19471.0,243.72,"SMPK. Balit Getas, Semarang",81.0
96,96,96,Semarang,2019,799.0,19471.0,243.72,"Klimatologi, Semarang",77.0
97,97,97,Semarang,2019,799.0,19471.0,243.72,"SI. Ungaran, Semarang",79.0
98,98,98,Temanggung,2019,230.0,6170.0,268.16,,85.02608371699122
99,99,99,Kendal,2019,264.0,6164.0,233.47,,85.68001275346226
100,100,100,Batang,2019,338.0,9356.0,276.81,"Gamer/Subah, Batang",81.0
101,101,101,Pekalongan,2019,71.0,1926.0,270.16,,75.09918343277931
102,102,102,Pemalang,2019,38.0,776.0,206.33,,72.79932017491156
103,103,103,Tegal,2019,77.0,2095.0,272.47,"Meteorologi, Tegal",74.0
104,104,104,Brebes,2019,20.0,521.0,261.78,,76.54408194997076
105,105,105,Magelang,2019,-13.993699713617946,-445.0703007852296,198.28797140044472,"SMPK. Borobudur, Magelang",78.0
106,106,106,Surakarta,2019,-7.344577340727981,-257.8002216841234,113.92581553322306,,79.49180975124722
107,107,107,Salatiga,2019,3.0,42.0,139.45,,79.8777626377935
108,108,108,Semarang,2019,10.0,253.0,258.36,"SMPK. Balit Getas, Semarang",81.0
109,109,109,Semarang,2019,10.0,253.0,258.36,"Klimatologi, Semarang",77.0
110,110,110,Semarang,2019,10.0,253.0,258.36,"SI. Ungaran, Semarang",79.0
111,111,111,Pekalongan,2019,11.30058583848674,292.5824868520086,283.1018917843936,,76.49282296703947
112,112,112,Tegal,2019,13.906941567581931,371.83456464057736,332.99660969720867,"Meteorologi, Tegal",74.0
